date,ticker,action,price,quantity,entry_price,exit_price,signal,profit,stop_loss,take_profit
2024-03-27,UNG,SELL,14.350000381469728,13791,15.640000343322754,14.350000381469728,SELL,-17790.389473915075,14.858000326156615,16.42200036048889
2024-03-28,UNG,BUY,14.56999969482422,13583,14.56999969482422,,BUY,,13.841499710083008,15.298499679565433
2024-04-01,UNG,SELL,15.390000343322754,13583,14.56999969482422,15.390000343322754,SELL,11138.06880855558,13.841499710083008,15.298499679565433
2024-04-02,UNG,BUY,15.479999542236328,13504,15.479999542236328,,BUY,,14.705999565124511,16.253999519348145
2024-04-04,UNG,SELL,14.899999618530272,13504,15.479999542236328,14.899999618530272,SELL,-7832.318969726586,14.705999565124511,16.253999519348145
2024-04-05,UNG,BUY,14.869999885559082,13532,14.869999885559082,,BUY,,14.126499891281128,15.613499879837036
2024-04-09,UNG,SELL,15.850000381469728,13532,14.869999885559082,15.850000381469728,SELL,13261.366710662865,14.126499891281128,15.613499879837036
2024-04-10,UNG,BUY,15.670000076293944,13687,15.670000076293944,,BUY,,14.886500072479246,16.45350008010864
2024-04-11,UNG,SELL,14.850000381469728,13687,15.670000076293944,14.850000381469728,SELL,-11223.335823059033,14.886500072479246,16.45350008010864
2024-04-12,UNG,BUY,14.890000343322754,13650,14.890000343322754,,BUY,,14.145500326156615,15.634500360488893
2024-04-15,UNG,SELL,14.140000343322754,13650,14.890000343322754,14.140000343322754,SELL,-10237.5,14.145500326156615,15.634500360488893
2024-04-17,UNG,BUY,14.380000114440918,13422,14.380000114440918,,BUY,,13.661000108718872,15.099000120162964
2024-04-24,UNG,SELL,14.359999656677246,13422,14.380000114440918,14.359999656677246,SELL,-268.4461441040039,13.661000108718872,15.099000120162964
2024-04-25,UNG,BUY,14.369999885559082,13413,14.369999885559082,,BUY,,13.651499891281127,15.088499879837038
2024-04-29,UNG,SELL,14.90999984741211,13413,14.369999885559082,14.90999984741211,SELL,7243.019488334656,13.651499891281127,15.088499879837038
2024-05-01,UNG,BUY,14.140000343322754,14144,14.140000343322754,,BUY,,13.433000326156616,14.847000360488892
2024-05-02,UNG,SELL,14.859999656677246,14144,14.140000343322754,14.859999656677246,SELL,10183.670288085938,13.433000326156616,14.847000360488892
2024-05-06,UNG,BUY,16.059999465942383,13087,16.059999465942383,,BUY,,15.256999492645264,16.862999439239502
2024-05-09,UNG,SELL,16.920000076293945,13087,16.059999465942383,16.920000076293945,SELL,11254.827987670898,15.256999492645264,16.862999439239502
2024-05-10,UNG,BUY,16.520000457763672,13404,16.520000457763672,,BUY,,15.694000434875488,17.346000480651856
2024-05-15,UNG,SELL,17.600000381469727,13404,16.520000457763672,17.600000381469727,SELL,14476.318977355957,15.694000434875488,17.346000480651856
2024-05-17,UNG,BUY,19.100000381469727,12351,19.100000381469727,,BUY,,18.14500036239624,20.055000400543214
2024-05-20,UNG,SELL,19.81999969482422,12351,19.100000381469727,19.81999969482422,SELL,8892.711519241333,18.14500036239624,20.055000400543214
2024-05-28,UNG,BUY,19.36000061035156,12644,19.36000061035156,,BUY,,18.39200057983398,20.32800064086914
2024-05-29,UNG,SELL,18.21999931335449,12644,19.36000061035156,18.21999931335449,SELL,-14414.176399230957,18.39200057983398,20.32800064086914
2024-05-30,UNG,BUY,17.559999465942383,13120,17.559999465942383,,BUY,,16.681999492645264,18.4379994392395
2024-05-31,UNG,SELL,17.59000015258789,13120,17.559999465942383,17.59000015258789,SELL,393.6090087890625,16.681999492645264,18.4379994392395
2024-06-12,UNG,BUY,20.82999992370605,11079,20.82999992370605,,BUY,,19.788499927520746,21.871499919891356
2024-06-13,UNG,SELL,20.11000061035156,11079,20.82999992370605,20.11000061035156,SELL,-7976.872392654419,19.788499927520746,21.871499919891356
2024-06-14,UNG,BUY,19.86000061035156,11218,19.86000061035156,,BUY,,18.86700057983398,20.853000640869137
2024-07-15,UNG,SELL,14.479999542236328,11218,19.86000061035156,14.479999542236328,SELL,-60352.85198211666,18.86700057983398,20.853000640869137
2024-07-16,UNG,BUY,14.609999656677246,11119,14.609999656677246,,BUY,,13.879499673843384,15.340499639511108
2024-07-17,UNG,SELL,13.739999771118164,11119,14.609999656677246,13.739999771118164,SELL,-9673.528727531433,13.879499673843384,15.340499639511108
2024-07-18,UNG,BUY,14.109999656677246,10827,14.109999656677246,,BUY,,13.404499673843382,14.81549963951111
2024-07-25,UNG,SELL,13.75,10827,14.109999656677246,13.75,SELL,-3897.7162828445435,13.404499673843382,14.81549963951111
2024-07-26,UNG,BUY,13.510000228881836,11020,13.510000228881836,,BUY,,12.834500217437743,14.18550024032593
2024-07-29,UNG,SELL,13.59000015258789,11020,13.510000228881836,13.59000015258789,SELL,881.5991592407227,12.834500217437743,14.18550024032593
2024-07-30,UNG,BUY,14.010000228881836,10689,14.010000228881836,,BUY,,13.309500217437744,14.710500240325928
2024-08-01,UNG,SELL,13.09000015258789,10689,14.010000228881836,13.09000015258789,SELL,-9833.880815505981,13.309500217437744,14.710500240325928
2024-08-07,UNG,BUY,13.859999656677246,10096,13.859999656677246,,BUY,,13.166999673843383,14.552999639511109
2024-08-08,UNG,SELL,14.18000030517578,10096,13.859999656677246,14.18000030517578,SELL,3230.726547241193,13.166999673843383,14.552999639511109
2024-08-09,UNG,BUY,14.279999732971191,10025,14.279999732971191,,BUY,,13.565999746322632,14.993999719619751
2024-08-22,UNG,SELL,13.8100004196167,10025,14.279999732971191,13.8100004196167,SELL,-4711.743116378784,13.565999746322632,14.993999719619751
2024-08-23,UNG,BUY,13.720000267028809,10091,13.720000267028809,,BUY,,13.034000253677368,14.40600028038025
2024-08-26,UNG,SELL,13.329999923706056,10091,13.720000267028809,13.329999923706056,SELL,-3935.493464469892,13.034000253677368,14.40600028038025
2024-08-30,UNG,BUY,13.369999885559082,10060,13.369999885559082,,BUY,,12.701499891281127,14.038499879837037
2024-09-03,UNG,SELL,13.890000343322754,10060,13.369999885559082,13.890000343322754,SELL,5231.204605102539,12.701499891281127,14.038499879837037
2024-09-04,UNG,BUY,13.460000038146973,10382,13.460000038146973,,BUY,,12.787000036239624,14.133000040054322
2024-09-05,UNG,SELL,14.18000030517578,10382,13.460000038146973,14.18000030517578,SELL,7475.042772293073,12.787000036239624,14.133000040054322
2024-09-06,UNG,BUY,14.31999969482422,10280,14.31999969482422,,BUY,,13.60399971008301,15.035999679565432
2024-09-20,UNG,SELL,15.34000015258789,10280,14.31999969482422,15.34000015258789,SELL,10485.604705810529,13.60399971008301,15.035999679565432
2024-09-24,UNG,BUY,15.8100004196167,9975,15.8100004196167,,BUY,,15.019500398635863,16.600500440597536
2024-09-26,UNG,SELL,15.470000267028809,9975,15.8100004196167,15.470000267028809,SELL,-3391.501522064209,15.019500398635863,16.600500440597536
2024-09-30,UNG,BUY,16.329999923706055,9449,16.329999923706055,,BUY,,15.513499927520751,17.146499919891358
2024-10-01,UNG,SELL,16.3700008392334,9449,16.329999923706055,16.3700008392334,SELL,377.9686508178711,15.513499927520751,17.146499919891358
2024-10-03,UNG,BUY,16.68000030517578,9274,16.68000030517578,,BUY,,15.846000289916992,17.514000320434572
2024-10-07,UNG,SELL,15.380000114440918,9274,16.68000030517578,15.380000114440918,SELL,-12056.201768875122,15.846000289916992,17.514000320434572
2024-10-08,UNG,BUY,15.25,9353,15.25,,BUY,,14.487499999999999,16.0125
2024-10-16,UNG,SELL,13.4399995803833,9353,15.25,13.4399995803833,SELL,-16928.933924674988,14.487499999999999,16.0125
2024-10-17,UNG,BUY,13.3100004196167,9444,13.3100004196167,,BUY,,12.644500398635863,13.975500440597536
2024-10-23,UNG,SELL,13.81999969482422,9444,13.3100004196167,13.81999969482422,SELL,4816.433155059831,12.644500398635863,13.975500440597536
2024-10-25,UNG,BUY,14.449999809265137,9032,14.449999809265137,,BUY,,13.72749981880188,15.172499799728394
2024-10-28,UNG,SELL,13.34000015258789,9032,14.449999809265137,13.34000015258789,SELL,-10025.516899108887,13.72749981880188,15.172499799728394
2024-10-29,UNG,BUY,13.40999984741211,8985,13.40999984741211,,BUY,,12.739499855041503,14.080499839782716
2024-10-31,UNG,SELL,12.710000038146973,8985,13.40999984741211,12.710000038146973,SELL,-6289.498286247253,12.739499855041503,14.080499839782716
2024-11-06,UNG,BUY,12.869999885559082,8874,12.869999885559082,,BUY,,12.226499891281128,13.513499879837036
